1,Начальная общеобразовательная школа при Посольстве РФ в Канберре,78 Canberra avenue,http://www.canberraschool.com,emb@canberraschool.com,Пн.-пт.: 15:00-18:00,,Согласно российским федеральным стандартам для 1-4 классов; Функционирует учебно-консультацион-ный пункт для учащихся 5-11 классов.,,1,,1,1
2,Школа при церковном приходе Св. Иоанна Предтечи/ Russian Orthodox Church School,1 Matina St,http://www.stjohnthebaptist.org.au/ru/school,russianschoolcanberra@yahoo.com.au,Сб.: 9.30–13.30,Протоиерей о.Александр (Морозов),"Закон Божий, введение в русскую литературу и искусство, русский язык, пение, танцы, театр, изобразительное искусство.",,1,,1,2
3,Русская школа «Пушкинский Лицей»/ Russian Language School «Pushkin Lyceum»,PO Box 224,http://www.pushkinlyceum.org.au,pushkinlyceum@live.com,Вс.: 8.30-16.10,Макарова Марина Павловна,"Русский язык, риторика, русская литература, история, природоведение, география, студии танцев, драмы, изобразительного и декоративного искусства.",,1,,3,3
4,Церковно-приходская школа при Богородице-Успенском приходе в Данденонге Victorian Deanery Russian School Dandenong Parish Campus,52 Fenton court,http://www.russianchurchin,fr.michael@russianwelfare.org.au,Сб.: 9.30-13.30,Митрофорный протоиерей о.Михаил (Протопопов),"Русский язык, литература, закон Божий, интегрированное преподавание истории и географии, музыка",,1,,3,4
5,Школа русской общины в Малверне/ Malvern Russian Community School,65A Tooronga rd,http://www.mrcs.org.au,info@mrcs.org.au,Чт.: 18.00-21.15,Дьячевский Петр,"Русский язык, русская литература, математика. Подготовка к сдаче австралийского экзамена по русскому языку.",,1,,3,5
6,Russian Language Community School “Rodnik”,40 Grattam Street,,gennadyvilkhov@optusnet.com.au,Сб.: 10.30-13.30,Коен Анна Григорьевна,"Русский язык, математика, шахматы, рукоделие",,1,,3,6
7,Русская приходская школа при Соборе Покрова Пресвятой Богородицы в Брансвике,1-7 Albion Street,,,Сб.: 9.30-13.30,Протоиерей о.Николай (Карыпов),"Русский язык, литература, закон Божий, интегрированное преподавание истории и географии, музыка",,1,,3,7
8,Школа при церкви Свято-Скорбященского прихода в Джилонге,17 Yaraan Street,http://www.geelongparish.org.au/,milich.marina.m@edumail.vic.gov.au,Сб.: 9.00-12.00,Протоиерей о.Симеон (Кичаков),"Русский язык, история России, закон Божий.",,1,,3,8
9,Воскресная школа «Лидер»/ «Lider» school,40 Gnarwyn Road,http://www.liderschool.com,lidersundayschool@yahoo.com,Вс.: 9.30-15.00,Марина Простакова,"Русский язык и литература, математика, история, рисование, естествознание, химия. Кружки шахмат, рисования, лепки, танцев, студия вокала, кукольный театр.",,1,,3,9
10,Еврейская русская воскресная школа,366 Carlisle St,http://www.chabadoncarlisle.com.au,,Вс.: 10.00-13.00,Равин Элозор Горелик,"Русский язык, литература, математика, еврейская культура, искусство",,1,,3,10
